"Imbalance settlement period (CET/CEST)","+ Imbalance Price [EUR/MWh] - SCA|FR","+ Scarcity [EUR/MWh] - SCA|FR","+ Incentive [EUR/MWh] - SCA|FR","+ Financial Neutrality [EUR/MWh] - SCA|FR","- Imbalance Price [EUR/MWh] - SCA|FR","- Scarcity [EUR/MWh] - SCA|FR","- Incentive [EUR/MWh] - SCA|FR","- Financial Neutrality [EUR/MWh] - SCA|FR","Currency","Status","Total Imbalance [MWh] - SCA|FR","Difference","Situation","Status"
"04.01.2022 00:00 - 04.01.2022 00:30","99.28","","","","109.73","","","","EUR","Estimated","1135","","Surplus","Final"
"04.01.2022 00:30 - 04.01.2022 01:00","88.73","","","","98.07","","","","EUR","Estimated","2236","","Surplus","Final"
"04.01.2022 01:00 - 04.01.2022 01:30","66.79","","","","73.82","","","","EUR","Estimated","1138","","Surplus","Final"
"04.01.2022 01:30 - 04.01.2022 02:00","66.33","","","","73.31","","","","EUR","Estimated","1209","","Surplus","Final"
"04.01.2022 02:00 - 04.01.2022 02:30","62.85","","","","69.47","","","","EUR","Estimated","379","","Surplus","Final"
"04.01.2022 02:30 - 04.01.2022 03:00","61.95","","","","68.47","","","","EUR","Estimated","762","","Surplus","Final"
"04.01.2022 03:00 - 04.01.2022 03:30","109.54","","","","121.08","","","","EUR","Estimated","333","","Deficit","Final"
"04.01.2022 03:30 - 04.01.2022 04:00","58.47","","","","64.63","","","","EUR","Estimated","210","","Surplus","Final"
"04.01.2022 04:00 - 04.01.2022 04:30","120.69","","","","133.39","","","","EUR","Estimated","540","","Deficit","Final"
"04.01.2022 04:30 - 04.01.2022 05:00","126.53","","","","139.85","","","","EUR","Estimated","483","","Deficit","Final"
"04.01.2022 05:00 - 04.01.2022 05:30","109.35","","","","120.87","","","","EUR","Estimated","210","","Surplus","Final"
"04.01.2022 05:30 - 04.01.2022 06:00","138.73","","","","153.33","","","","EUR","Estimated","423","","Surplus","Final"
"04.01.2022 06:00 - 04.01.2022 06:30","133.15","","","","147.17","","","","EUR","Estimated","1176","","Surplus","Final"
"04.01.2022 06:30 - 04.01.2022 07:00","136.61","","","","150.99","","","","EUR","Estimated","447","","Surplus","Final"
"04.01.2022 07:00 - 04.01.2022 07:30","151.39","","","","167.33","","","","EUR","Estimated","779","","Surplus","Final"
"04.01.2022 07:30 - 04.01.2022 08:00","173.51","","","","191.77","","","","EUR","Estimated","129","","Deficit","Final"
"04.01.2022 08:00 - 04.01.2022 08:30","169.96","","","","187.86","","","","EUR","Estimated","75","","Deficit","Final"
"04.01.2022 08:30 - 04.01.2022 09:00","169.96","","","","187.86","","","","EUR","Estimated","444","","Deficit","Final"
"04.01.2022 09:00 - 04.01.2022 09:30","190.08","","","","210.08","","","","EUR","Estimated","481","","Deficit","Final"
"04.01.2022 09:30 - 04.01.2022 10:00","191.60","","","","211.76","","","","EUR","Estimated","538","","Deficit","Final"
"04.01.2022 10:00 - 04.01.2022 10:30","180.39","","","","199.37","","","","EUR","Estimated","450","","Deficit","Final"
"04.01.2022 10:30 - 04.01.2022 11:00","180.39","","","","199.37","","","","EUR","Estimated","342","","Deficit","Final"
"04.01.2022 11:00 - 04.01.2022 11:30","173.30","","","","191.54","","","","EUR","Estimated","273","","Deficit","Final"
"04.01.2022 11:30 - 04.01.2022 12:00","173.30","","","","191.54","","","","EUR","Estimated","326","","Deficit","Final"
"04.01.2022 12:00 - 04.01.2022 12:30","199.44","","","","220.44","","","","EUR","Estimated","713","","Deficit","Final"
"04.01.2022 12:30 - 04.01.2022 13:00","238.83","","","","263.97","","","","EUR","Estimated","1006","","Deficit","Final"
"04.01.2022 13:00 - 04.01.2022 13:30","263.35","","","","291.07","","","","EUR","Estimated","473","","Deficit","Final"
"04.01.2022 13:30 - 04.01.2022 14:00","248.43","","","","274.59","","","","EUR","Estimated","162","","Deficit","Final"
"04.01.2022 14:00 - 04.01.2022 14:30","247.26","","","","273.28","","","","EUR","Estimated","687","","Deficit","Final"
"04.01.2022 14:30 - 04.01.2022 15:00","281.70","","","","311.36","","","","EUR","Estimated","260","","Deficit","Final"
"04.01.2022 15:00 - 04.01.2022 15:30","229.87","","","","254.07","","","","EUR","Estimated","80","","Surplus","Final"
"04.01.2022 15:30 - 04.01.2022 16:00","159.26","","","","176.02","","","","EUR","Estimated","507","","Surplus","Final"
"04.01.2022 16:00 - 04.01.2022 16:30","129.30","","","","142.92","","","","EUR","Estimated","874","","Surplus","Final"
"04.01.2022 16:30 - 04.01.2022 17:00","133.42","","","","147.46","","","","EUR","Estimated","735","","Surplus","Final"
"04.01.2022 17:00 - 04.01.2022 17:30","153.87","","","","170.07","","","","EUR","Estimated","823","","Surplus","Final"
"04.01.2022 17:30 - 04.01.2022 18:00","169.12","","","","186.92","","","","EUR","Estimated","725","","Surplus","Final"
"04.01.2022 18:00 - 04.01.2022 18:30","169.64","","","","187.50","","","","EUR","Estimated","1087","","Surplus","Final"
"04.01.2022 18:30 - 04.01.2022 19:00","152.56","","","","168.62","","","","EUR","Estimated","1195","","Surplus","Final"
"04.01.2022 19:00 - 04.01.2022 19:30","126.05","","","","139.31","","","","EUR","Estimated","1080","","Surplus","Final"
"04.01.2022 19:30 - 04.01.2022 20:00","128.31","","","","141.81","","","","EUR","Estimated","1966","","Surplus","Final"
"04.01.2022 20:00 - 04.01.2022 20:30","112.96","","","","124.86","","","","EUR","Estimated","631","","Surplus","Final"
"04.01.2022 20:30 - 04.01.2022 21:00","93.04","","","","102.84","","","","EUR","Estimated","1021","","Surplus","Final"
"04.01.2022 21:00 - 04.01.2022 21:30","118.16","","","","130.60","","","","EUR","Estimated","145","","Surplus","Final"
"04.01.2022 21:30 - 04.01.2022 22:00","119.91","","","","132.53","","","","EUR","Estimated","480","","Surplus","Final"
"04.01.2022 22:00 - 04.01.2022 22:30","130.05","","","","143.73","","","","EUR","Estimated","300","","Surplus","Final"
"04.01.2022 22:30 - 04.01.2022 23:00","201.15","","","","222.33","","","","EUR","Estimated","296","","Deficit","Final"
"04.01.2022 23:00 - 04.01.2022 23:30","99.75","","","","110.25","","","","EUR","Estimated","172","","Surplus","Final"
